price_eur;boat_type;year_built;condition;length_m;displacement_kg;certified_number_of_people;number_of_cabins;number_of_beds;fuel_capacity_l;engine_hours_h;number_of_views_last_7_days
280000;Sport Boat;2001;very good;13,43;8000;8;1;2;1100;320;241
284000;Motor Yacht;2011;very good;13,34;9340;10;2;6;920;580;61
289000;Flybridge;2007;as new;15,67;17500;16;3;6;2044;1015;237
29000;Center console boat;1991;very good;9,77;1475;12;1;2;560;660;205
292000;Motor Yacht;2002;very good;15,5;13000;10;3;5;1500;610;162
295000;Motor Yacht;2017;very good;11,28;6500;10;2;4;750;149;236
295000;Cabin Boat;2018;as new;11,99;8500;12;2;4;700;385;206
295000;Flybridge;1999;very good;18;26000;8;3;4;3000;2200;314
299000;Hardtop;2008;very good;14,68;14742;10;3;6;1325;250;73
299000;Motor Yacht;1999;good;14,85;26000;12;3;5;2000;950;89
299000;Hardtop;2002;very good;18,34;24000;10;3;6;2350;900;135
299000;Flybridge;2017;as new;11,75;8040;10;3;6;2;320;123
31000;Cabin Boat;1999;well-groomed;8,89;4082;8;2;2;600;610;502
31000;House Boat;1975;good;11,5;8000;6;1;3;120;898;419
319000;Motor Yacht;2005;very good;15,7;20000;12;3;5;1820;325;103
32000;Sport Boat;1995;as new;7;2000;6;2;2;300;60;150
32500;Sport Boat;1991;well-groomed;9,95;4400;6;2;6;400;1183;396
320000;Hardtop;2009;very good;14,99;16395;8;2;4;1310;538;255
329000;Trawler;2011;very good;13,9;18500;10;2;6;820;800;398
329000;Motor Yacht;2013;as new;12,63;18000;12;3;4;996;114;110
329000;Flybridge;2016;very good;13,9;15800;8;3;6;1500;264;172
33000;Pilothouse;2012;well-groomed;7,3;1980;6;1;2;135;900;267
33000;Cabin Boat;2004;well-groomed;8,39;3000;8;2;4;200;660;403
339000;Hardtop;2014;very good;13,22;90000;8;3;6;900;200;111
349000;Motor Yacht;2006;very good;18,12;26500;12;3;6;2000;880;317
35000;Motor Yacht;2001;good;10;3000;10;1;4;440;90;503
35000;Classic;1987;very good;9,3;9340;6;2;6;600;1400;317
35000;Motor Yacht;2016;as new;5,95;760;6;1;2;140;351;198
35000;Cabin Boat;2006;good;9,6;5000;10;2;4;450;875;421
350000;Motor Yacht;2018;as new;13,29;9000;8;2;4;950;100;276
350000;Motor Yacht;2004;very good;13,23;1200;8;3;6;1500;240;57
355000;Hardtop;2003;very good;17,68;23000;12;3;6;2100;710;98
355000;Hardtop;2020;new;12;7500;12;3;5;800;5;171
359000;Hardtop;2005;very good;18,8;26000;13;3;6;2300;980;224
36000;Cabin Boat;1974;well-groomed;11;11500;8;1;6;400;2900;150
36000;Classic;1995;very good;12,7;10037;10;2;4;800;200;237
36500;Motor Yacht;1987;well-groomed;9,9;50000;8;2;6;600;1164;346
37500;Sport Boat;2003;well-groomed;7,62;2370;4;2;2;229;600;371
370000;Offshore Boat;1994;as new;16,2;18143;8;2;6;3800;120;227
374500;Motor Yacht;2018;as new;11,23;5851;9;1;6;598;130;204
375000;Motor Yacht;2019;as new;11,56;6900;8;2;4;700;55;157
38000;Sport Boat;2015;as new;7,47;1800;8;1;1;196;80;422
38900;Offshore Boat;2000;very good;8,86;2800;7;1;2;500;268;105
39000;Motor Yacht;1994;very good;9,92;3650;10;1;4;530;598;109
39000;Sport Boat;2008;good;9,14;4800;8;1;4;380;320;163
39500;Cabin Boat;2006;very good;9,2;4600;4;1;4;420;670;461
39900;Sport Boat;2015;very good;6,5;1700;6;1;2;200;63;121
4000;Cabin Boat;2011;good;6,37;800;3;2;3;54;9;330
4250000;Mega Yacht;2013;as new;32,92;100000;16;5;10;15000;500;118
40000;Sport Boat;2014;very good;6,19;1460;6;1;1;220;160;408
40000;Motor Yacht;2004;well-groomed;8,38;4930;8;1;4;280;200;256
40000;Flybridge;1991;very good;9,58;5000;9;2;6;600;1500;210
40000;Motor Yacht;1994;well-groomed;12;7400;12;3;4;450;1090;457
41000;Trawler;1988;as new;8,16;6000;6;1;4;200;600;258
42300;Cabin Boat;2003;well-groomed;8,2;2800;10;1;1;300;230;491
42950;Motor Yacht;1976;used;11,8;8900;12;2;6;1000;2900;247
420000;Flybridge;2008;very good;14,46;19300;10;3;6;2000;580;78
429000;Catamaran;2018;as new;11;9000;10;3;6;1200;270;88
429000;Flybridge;2015;very good;13,96;16000;12;2;4;1200;560;100
43000;Sport Boat;2013;as new;6,7;1800;6;1;1;220;70;621
43000;Cabin Boat;1987;good;8,95;4800;7;2;4;200;1270;142
43000;Motor Yacht;1999;good;10,2;5400;12;2;2;500;500;704
439000;Trawler;2011;very good;14,45;21000;12;3;6;1450;1200;120
439000;Hardtop;2008;very good;17,6;24800;10;3;6;2140;245;189
449000;Flybridge;1995;very good;20,26;34000;12;5;9;5000;1442;82
449500;Flybridge;2015;very good;13,96;11000;10;2;5;1200;600;120
45000;Motor Yacht;1994;very good;9,92;3650;10;1;4;530;670;119
45000;Cabin Boat;2003;well-groomed;8,7;3100;10;2;4;320;400;381
45000;Cabin Boat;1912;for tinkers;15;10000;10;2;4;500;1000;444
45000;Fishing Boat;2004;very good;9,25;1400;8;1;4;400;630;389
45000;Motor Yacht;2008;as new;7,49;2750;8;1;1;250;230;341
46000;Motor Yacht;1989;very good;9,65;8000;3;1;1;200;280;211
47500;Cabin Boat;2016;very good;7,4;2150;6;2;4;200;100;269
47500;Motor Yacht;2008;well-groomed;9,14;4800;8;1;4;380;620;254
47800;Motor Yacht;1987;well-groomed;11,6;11000;12;2;6;1000;780;385
473000;Hardtop;2020;new;12;7100000;8;3;6;900;20;140
480000;Flybridge;2002;good;22,45;53300;8;3;6;4995;1400;113
49000;Offshore Boat;2005;very good;9,17;4200;10;1;2;750;875;194
49000;Classic;2009;as new;8,2;2500;10;1;2;500;700;235
49900;Sport Boat;2019;as new;6,6;1400;6;1;1;180;12;138
